구분,고유번호,종목코드,회사명,induty_code,법인등록번호
상장,00163345,012030,(주) DB Inc.,62021,1101110210859
상장,00204226,032680,(주) 소프트센,639,1101110570442
상장,00580056,099440,(주) 스맥,29221,1601110052665
상장,00135467,049830,(주) 승일,259,1201110007204
상장,00234227,056080,(주) 유진로봇,292,1101110991467
상장,01020269,434190,(주) 탈로스,28202,2811110093358
상장,00136235,003990,(주)BHK,46800,1101110045686
상장,00858364,138930,(주)BNK금융지주,64992,1801110750893
상장,00122579,001460,(주)BYC,14120,1101110005995
상장,00380429,058820,(주)CMG제약,212,1350110115846
상장,00165583,017940,(주)E1,46713,1101110381387
상장,00175623,050120,(주)ES큐브,46419,1801110031516
상장,00220057,032620,(주)GC메디아이,58221,1101111105364
상장,00500254,078930,(주)GS,64992,1101113045112
상장,00105101,015360,(주)INVENI,715,1101110290778
상장,00980122,175330,(주)JB금융지주,64992,2101110091498
상장,00688996,105560,(주)KB금융지주,64992,1101113975517
상장,00120216,002550,(주)KB손해보험,65121,1101110017859
상장,00593032,093050,(주)LF,14111,1101113555187
상장,00120021,003550,(주)LG,64992,1101110003543
상장,00423609,068870,(주)LG생명과학,21212,1101112581183
상장,00356370,051900,(주)LG생활건강,20422,1101112208000
상장,00231363,032640,(주)LG유플러스,61220,1101111296676
상장,00318617,045820,(주)LG파워콤,61210,1101111863889
상장,00356361,051910,(주)LG화학,20111,1101112207995
상장,00105952,006260,(주)LS,64992,1101110003965
상장,00104698,000680,(주)LS네트웍스,46800,1801110044717
상장,00120076,001120,(주)LX인터내셔널,4610,1101110004632
상장,00103130,009810,(주)MDS스피어,467,1101110286412
상장,00445841,086960,(주)MDS테크,58221,1101111626188
상장,00121534,023150,(주)MH에탄올,11121,1901110003563
상장,00158316,034310,(주)NICE홀딩스,715,1101110505614
상장,00116301,008260,(주)NI스틸,2419,1101110137491
상장,00130772,034120,(주)SBS,60210,1101110731483
상장,00152039,001380,(주)SG글로벌,303,1615110000037
상장,00133511,004060,(주)SG세계물산,46800,1101110048002
상장,00136457,002360,(주)SH에너지화학,201,1341110000210
상장,00138260,009160,(주)SIMPAC,24113,1201110002189
상장,00225159,036530,(주)SNT홀딩스,64992,1244110002907
상장,00138297,011810,(주)STX,46800,1942110000183
상장,01784394,465770,(주)STX 그린 로지스,501,1801111522465
상장,00117300,002710,(주)TCC스틸,24191,1101110032112
상장,00142865,024070,(주)WISCOM,22299,1301110009274
상장,00506294,079940,(주)가비아,58221,1101111777585
상장,01364747,399720,(주)가온칩스,26112,1311110319656
상장,01229240,296520,(주)가이아코퍼레이션,46499,2850110181903
상장,01032583,198440,(주)강동씨앤엘,233,1101115403623
상장,00255619,035250,(주)강원랜드,91249,1449110001666
상장,00100601,114190,(주)강원에너지,289,1101110191398
상장,00129554,011420,(주)갤럭시아 에스엠,911,1301110008771
상장,00100957,012720,(주)건영,4111,1101110221202
상장,01030132,192520,(주)경남은행,64121,1942110226226
상장,00101433,002100,(주)경농,2032,1101110089395
상장,00101488,009450,(주)경동나비엔,28520,1347110001159
상장,01208885,267290,(주)경동도시가스,35200,2301110274751
상장,00143527,012320,(주)경동인베스트,649,1812110000906
상장,00101628,000050,(주)경방,47119,1101110013287
상장,00101664,214390,(주)경보제약,211,1648110001961
상장,00173324,019120,(주)경윤하이드로에너지,291,1713110000708
상장,00102113,012610,(주)경인양행,20132,1201110005703
상장,00579999,098460,(주)고영테크놀러지,29271,1101112508088
상장,00103325,002540,(주)고제,10895,1101110036990
상장,00249502,035290,(주)골드앤에스,581,1101111100926
상장,01067516,215000,(주)골프존,58219,1601110393069
상장,00764807,183410,(주)골프존클라우드,27211,1101112911992
상장,00674498,121440,(주)골프존홀딩스,461,1601110097976
상장,00103635,014200,(주)광림,301,1201110009268
상장,00103662,017040,(주)광명전기,28123,1301110006270
상장,00186452,029480,(주)광무,26410,1101110779152
상장,00220561,037710,(주)광주신세계,47111,2001110054795
상장,01028164,192530,(주)광주은행,64121,2001110396882
상장,00202060,053270,(주)구영테크,303,1747110001791
상장,00104467,031150,(주)국민은행,64121,1101110545553
상장,00386937,060000,(주)국민은행,64121,1101112365321
상장,00104519,001140,(주)국보,49301,1101110296073
상장,00253985,066620,(주)국보디자인,424,1101110564066
상장,00256715,043650,(주)국순당,11111,2013110001155
상장,00104537,006050,(주)국영지앤엠,231,1101110103707
상장,01329957,307750,(주)국전,212,1101116868529
상장,00508566,080570,(주)국제개발,41224,1748110037336
상장,00300779,051530,(주)굿이엠지,59201,1201110199829
상장,00244561,035080,(주)그래디언트,479,1101111468093
상장,00259916,035780,(주)그로웰텔레콤,26410,1101110416530
상장,01299203,453450,(주)그리드위즈,739,1311110336238
상장,00671978,204020,(주)그리티,14120,1101111773799
상장,00677486,0015G0,(주)그린광학,273,1501110038584
상장,01088458,272420,(주)극동자동화,423,1812110015913
상장,00272412,045050,(주)글라소울,28123,1101110600795
상장,00540863,083450,(주)글로벌스탠다드테크놀로지,29271,1313110038864
상장,00255141,035480,(주)글로앤웰,46595,1101111535272
상장,00261188,037830,(주)글로포스트,58221,1101111569958
상장,00168401,008870,(주)금비,23192,1201110002022
상장,00455112,045890,(주)금빛,284,1211110068750
상장,00106119,001570,(주)금양,201,1801110003101
상장,00659815,165270,(주)금오하이텍,22223,1115110049291
상장,00105606,214330,(주)금호에이치티,303,2059110000169
상장,00176516,036190,(주)금화피에스시,423,1101110295778
상장,00377018,049080,(주)기가레인,262,1101111867831
상장,00229085,282620,(주)기도산업,14199,1101110278980
상장,00106508,006070,(주)기린,10602,1801110061935
상장,00258421,035460,(주)기산텔레콤,2642,1101111073454
상장,00874797,456700,(주)길교이앤씨,721,1101113101097
상장,00129420,013700,(주)까뮤이앤씨,41121,1101110243793
상장,00994994,187790,(주)나노,20129,1101115248376
상장,01924673,238540,(주)나노솔루션,204,2101110054248
상장,00439965,121600,(주)나노신소재,2049,1601110094162
상장,01136001,286750,(주)나노실리칸첨단소재,20129,1358110139600
상장,00230425,039860,(주)나노엔텍,27199,1101110550502
상장,00268437,010670,(주)나노트로닉스,27212,1341110002472
상장,00252375,071360,(주)나노하이텍,26211,1301110018382
상장,01117422,244880,(주)나눔테크,27199,2001110214745
상장,01267550,288490,(주)나라소프트,58222,1101112669369
상장,01787355,478340,(주)나라스페이스테크놀로지,31311,1101115682201
상장,00208693,036850,(주)나리지*온,2612,2149110003948
상장,00819374,190510,(주)나무가,262,1311110126192
상장,01594791,459510,(주)나우로보틱스,29280,1201110845638
상장,00425254,257990,(주)나우코스,20423,1211110074525
상장,00767628,138610,(주)나이벡,213,1101112940933
상장,00606293,130580,(주)나이스디앤비,75993,1101112629347
상장,00967778,192240,(주)나이코,179,1712110063972
상장,01307335,366030,(주)나인앤컴퍼니,144,2801110078161
상장,01208849,267320,(주)나인테크,292,1101116353116
상장,00188122,036280,(주)남산물산,10899,1615110002174
상장,00107224,008350,(주)남선알미늄,24222,1701110005042
상장,00172185,004270,(주)남성,46799,1101110054760
상장,00107446,003020,(주)남양,13922,1801110006569
상장,00923792,168330,(주)내츄럴엔도텍,70111,1101112246414
상장,00370547,058550,(주)네오리소스,2642,1341110049581
상장,00599106,094860,(주)네오리진,58221,1101113623463
상장,02038566,0218L0,(주)네오뷰,265,1341110071742
상장,01170865,253590,(주)네오셈,292,1101116168614
상장,00876865,212560,(주)네오오토,303,1101114255801
상장,00628860,095660,(주)네오위즈,5821,1101113667552
상장,00266952,042420,(주)네오위즈홀딩스,582,1101111419517
상장,01219155,311390,(주)네오크레마,108,1101113594763
상장,00447928,085910,(주)네오티스,303,1346110015095
상장,00551920,092730,(주)네오팜,20423,1601110100688
상장,00121251,028090,(주)네오퍼플,1089,1101110072572
상장,00842585,153460,(주)네이블,58222,1101112707367
상장,00117276,007390,(주)네이처셀,211,1243110005721
상장,00540304,088020,(주)네이쳐글로벌,2611,1101111965875
상장,00227333,033640,(주)네패스,261,1545110002355
상장,00687599,950030,(주)네프로아이티,63991,
상장,01440153,351320,(주)넥사다이내믹스,29272,1101117417458
상장,00167192,005720,(주)넥센,221,1846110000583
상장,00636045,110570,(주)넥솔론,2612,1101113720673
상장,00977696,194510,(주)넥스쳐,5821,1101114508151
상장,00416414,089140,(주)넥스턴앤롤코리아,292,1345110042264
상장,00265254,037220,(주)넥스텔,58221,1101111059024
상장,01385050,389650,(주)넥스트바이오메디컬,27199,1201110720228
상장,00614593,137940,(주)넥스트아이,27216,1348110037954
상장,00974927,160550,(주)넥스트엔터테인먼트월드,591,1101113922550
상장,01515864,396270,(주)넥스트칩,26112,1311110541069
상장,01096341,225570,(주)넥슨게임즈,582,1101115781277
상장,01042429,205500,(주)넥써쓰,582,1101115501302
상장,01067808,217270,(주)넵튠,582,1101115671171
상장,00632845,104620,(주)노랑풍선,75210,1101112307539
상장,00583442,090350,(주)노루페인트,20411,1341110142575
상장,00113508,000320,(주)노루홀딩스,64992,1341110002878
상장,01703849,473980,(주)노머스,90199,1101117042247
상장,00811372,194700,(주)노바렉스,108,1501110120399
상장,01259232,285490,(주)노바텍,339,1351110083661
상장,01332137,283100,(주)노보믹스,701,1101114296029
상장,00305941,145170,(주)노브랜드,14300,1101111065972
상장,01065785,229500,(주)노브메타파마,70113,1101114465111
상장,00536329,106520,(주)노블엠앤비,273,1101111905706
상장,00129679,006280,(주)녹십자,212,1101110109854
상장,00198378,031390,(주)녹십자셀,21100,1101110889985
상장,00513948,142280,(주)녹십자엠에스,213,1345110076627
상장,01135057,234690,(주)녹십자웰빙,212,1345110083218
상장,00108135,005250,(주)녹십자홀딩스,715,1345110000014
상장,00108241,004370,(주)농심,108,1101110057574
상장,00459871,072710,(주)농심홀딩스,64992,1101112819005
상장,00410997,069140,(주)누리플랜,25112,1101111015779
상장,00269889,040160,(주)누리플렉스,58221,1101111029671
상장,01394669,332290,(주)누보,203,1101117182655
상장,00351375,060260,(주)뉴보텍,22211,1412110004279
상장,00138695,013340,(주)뉴아세아,2413,1101110233439
상장,01639508,463020,(주)뉴엔에이아이,58222,2811110080389
상장,00809429,123840,(주)뉴온,108,1101114305614
상장,00105040,012340,(주)뉴인텍,303,1243110003006
상장,00362380,054650,(주)뉴젠비아이티,4659,1101110973077
상장,00350118,054150,(주)뉴젠아이씨티,46510,1101110364408
상장,01214248,270870,(주)뉴트리,108,1101112214429
상장,00521390,144960,(주)뉴파워프라즈마,29271,1101111784952
상장,00493510,085670,(주)뉴프렉스,2622,1350110103601
상장,00389970,064260,(주)다날,582,1101111435810
상장,00410678,204690,(주)다린,22232,1943110004967
상장,00268251,039560,(주)다산네트웍스,26410,1101110924765
상장,01084364,208860,(주)다산디엠씨,58222,1101111574709
상장,00624518,154040,(주)다산솔루에타,2629,1351110065750
